u,v,length_m,speed_kmh,rank,has_traffic_light,light_delay_s,counter_zone
82653886,89042111,32.57,36.18279569892473,residential,False,21,320981769
82653886,320981771,79.28,36.18279569892473,residential,False,35,320981769
82653887,82653886,35.82,36.18279569892473,residential,False,12,320981769
82653887,4411145005,240.62,36.18279569892473,residential,False,21,320981769
82653887,686454183,81.82,36.18279569892473,residential,False,17,320981769
82655335,82655413,49.88,60.0,primary_link,False,33,256619924
82655335,1893961021,45.82,50.0,primary,False,31,256619924
82655335,6398581392,333.56,50.0,primary,False,30,256619924
82655413,1893961023,26.46,36.18279569892473,residential,False,13,256619924
82655420,302331462,325.6,50.0,residential,False,34,256619924
82655420,82655496,382.51,50.0,residential,False,28,256619924
82655420,8174717586,355.14,36.18279569892473,residential,False,33,256619924
82655496,6354570656,470.96,36.18279569892473,residential,True,34,256619924
82655496,82655420,382.51,50.0,residential,False,20,256619924
82655496,1893961023,68.44,50.0,residential,False,14,256619924
82656138,2070717320,130.71,44.02390438247012,tertiary,False,11,256619924
82656138,6354570656,229.79,44.02390438247012,tertiary,True,21,256619924
82656138,3104637122,112.16,36.18279569892473,residential,False,27,256619924
82656150,301833446,677.28,53.482142857142854,secondary,False,20,256619924
82656150,82656867,208.34,36.18279569892473,residential,False,30,256619924
82656150,90238323,38.31,44.02390438247012,tertiary,False,15,256619924
82656150,9191155714,340.36,50.0,secondary,False,34,256619924
82656162,89015547,154.52,36.18279569892473,residential,False,31,82703794
82656162,82656163,89.74,36.18279569892473,residential,False,24,82703794
82656163,90235320,69.51,36.18279569892473,residential,False,32,82703794
82656163,90233834,127.13,36.18279569892473,residential,False,25,82703794
82656405,90138712,154.82,36.18279569892473,residential,False,30,82703794
82656405,4707301860,25.65,36.18279569892473,residential,False,15,82703794
82656405,2564124091,51.64,54.67289719626168,primary,False,35,82703794
82656867,82657806,55.35,36.18279569892473,residential,False,14,256619924
82656867,82656150,208.34,36.18279569892473,residential,True,12,256619924
82657806,254319245,17.02,36.18279569892473,residential,False,32,256619924
82657806,6394898052,26.99,36.18279569892473,residential,False,34,256619924
82658261,3104046938,15.71,36.18279569892473,residential,False,24,256619924
82658261,82645960,451.86,36.18279569892473,residential,False,11,256619924
82658261,82658524,114.88,36.18279569892473,residential,False,19,256619924
82658524,302336201,101.42,36.18279569892473,residential,False,16,256619924
82658524,82658261,114.88,36.18279569892473,residential,False,11,256619924
82658524,302336373,208.41,36.18279569892473,residential,False,35,256619924
82658533,302335936,27.92,36.18279569892473,residential,False,16,256619924
82658896,2070621105,92.23,36.18279569892473,residential,False,11,256619924
82658896,82645960,104.07,36.18279569892473,residential,False,20,256619924
82658896,302336430,187.38,36.18279569892473,residential,False,19,256619924
82658898,2070621105,24.32,36.18279569892473,residential,False,26,256619924
82658898,302335708,16.86,36.18279569892473,residential,False,22,256619924
