node_id,x,y,is_counter,has_traffic_light
83730865,18.37,43.84,False,False
83731203,18.37,43.84,False,False
83731207,18.37,43.84,False,False
83731216,18.37,43.84,False,False
83731217,18.37,43.84,False,False
83732975,18.34,43.84,False,False
83733087,18.34,43.84,False,False
83733359,18.34,43.84,False,False
83733503,18.34,43.84,False,False
83733857,18.34,43.83,False,False
83734122,18.34,43.84,False,False
83734665,18.33,43.84,False,False
83734666,18.34,43.84,False,False
83734669,18.34,43.83,False,False
83737009,18.35,43.85,False,False
83737521,18.34,43.85,False,False
83738235,18.37,43.85,False,False
83738406,18.37,43.85,False,False
83738415,18.37,43.85,False,False
83738530,18.37,43.85,False,False
83738749,18.37,43.85,False,False
83738765,18.38,43.85,False,False
83738768,18.37,43.85,False,False
83738933,18.38,43.85,False,False
83739415,18.4,43.85,False,False
83739448,18.39,43.85,False,True
83739552,18.39,43.85,False,False
83740338,18.39,43.85,False,False
83741118,18.41,43.85,False,False
83741126,18.4,43.85,False,False
83741273,18.41,43.85,False,True
83741790,18.41,43.85,False,False
83741797,18.41,43.85,False,False
83741800,18.41,43.85,False,False
83741802,18.41,43.85,False,False
83741803,18.41,43.85,False,False
83741805,18.41,43.85,False,False
83769953,18.28,43.87,False,False
83771420,18.29,43.88,False,False
83771424,18.29,43.88,False,False
83771431,18.29,43.88,False,False
83771438,18.29,43.88,False,False
84198521,18.34,43.84,False,False
84548266,18.46,43.85,False,False
84549159,18.46,43.85,False,False
84549161,18.46,43.85,False,False
84549185,18.46,43.85,False,False
84549189,18.46,43.85,False,False
84550083,18.46,43.86,False,False
84550157,18.46,43.86,False,False
84550349,18.45,43.86,False,False
84550353,18.45,43.86,False,False
84551238,18.46,43.87,False,False
84551644,18.33,43.85,False,False
84551877,18.33,43.86,False,False
84551882,18.33,43.86,False,False
84551883,18.33,43.86,False,False
84551888,18.33,43.86,False,False
84551891,18.33,43.86,False,False
84552068,18.33,43.86,False,False
84552070,18.33,43.86,False,False
84552073,18.33,43.86,False,False
84552411,18.33,43.86,False,False
84552418,18.34,43.86,False,False
84552423,18.34,43.86,False,False
84552782,18.37,43.85,False,True
84554289,18.37,43.86,False,False
84554292,18.37,43.86,False,False
84554294,18.37,43.86,False,False
84554301,18.36,43.86,False,False
84554303,18.36,43.86,False,False
84554306,18.36,43.86,False,False
84554312,18.36,43.86,False,False
